Temperature,Humidity,SleepScore
25.0,57.0,87.3
20.3,34.9,93.0
17.9,85.0,95.1
22.9,67.4,92.9
19.0,31.9,83.4
25.3,67.5,81.2
30.3,49.7,51.6
18.2,81.1,93.0
29.4,44.3,59.7
19.8,65.5,99.0
26.4,54.0,81.0
30.3,25.1,60.1
29.2,28.9,69.5
26.3,61.8,77.8
25.6,83.0,73.9
22.0,78.5,96.2
26.3,58.6,82.5
20.4,45.8,93.6
16.8,62.1,82.8
16.8,59.6,82.3
20.2,76.2,100.0
26.4,37.7,87.5
24.2,30.2,96.3
26.9,60.7,73.8
29.1,57.1,59.4
31.4,81.2,37.1
25.2,62.5,84.8
18.4,70.3,92.2
27.2,30.6,81.2
17.7,65.6,85.9
16.6,49.9,76.3
19.7,40.8,92.8
27.3,78.9,66.9
28.0,58.6,66.4
30.4,76.3,42.9
24.7,34.8,96.3
19.2,44.4,89.8
17.3,60.7,81.6
24.9,51.6,88.5
21.0,59.5,98.5
23.3,69.7,95.9
24.4,83.6,83.1
21.3,54.0,100.0
25.7,74.9,76.1
28.6,39.2,70.4
26.4,33.9,87.6
20.0,72.0,97.0
20.6,25.4,92.1
26.3,69.4,76.7
26.5,44.1,80.9
18.8,44.8,87.1
31.8,31.7,50.3
29.8,81.9,44.3
18.2,29.3,81.9
23.2,37.8,99.0
23.8,78.1,89.3
25.1,67.5,82.7
23.4,70.0,90.0
23.4,45.1,96.2
19.3,72.8,98.9
28.8,51.3,63.6
31.1,61.1,39.6
17.3,32.9,73.7
16.9,41.4,71.8
19.8,43.7,93.6
19.3,36.1,85.3
18.8,43.0,88.2
22.8,30.2,98.3
16.3,55.8,72.2
20.5,73.5,98.3
23.6,34.6,98.8
21.9,78.9,99.4
26.9,32.5,82.8
23.9,48.8,96.1
20.0,26.6,86.1
31.7,63.5,35.8
25.6,29.0,92.8
19.7,58.5,93.0
25.0,51.1,87.0
31.4,69.6,40.1
31.3,67.8,37.5
26.4,47.7,80.4
25.9,49.5,87.6
23.9,66.6,89.0
19.2,34.6,84.5
16.1,61.7,77.1
18.2,52.8,88.5
28.2,26.8,77.1
25.4,75.4,78.8
25.3,74.9,78.0
17.4,36.0,78.3
22.6,79.2,95.1
32.0,73.5,35.7
17.2,59.6,79.6
19.4,76.6,99.1
27.9,34.8,77.3
28.8,54.7,65.0
31.6,52.6,41.2
18.4,45.8,82.7
26.6,72.4,72.2
21.7,78.6,98.7
29.3,81.4,47.3
24.9,77.6,83.1
20.7,73.8,99.7
22.8,26.6,97.9
16.1,52.5,74.4
17.4,69.3,87.3
30.2,31.9,59.1
20.7,46.8,99.3
28.3,63.6,63.5
22.7,70.8,94.7
21.0,44.2,97.6
29.9,46.3,56.3
22.7,61.1,98.0
28.7,25.7,76.5
16.4,77.8,85.0
31.0,31.2,53.5
30.7,75.4,38.2
21.3,28.6,93.0
28.0,49.2,69.5
29.2,27.3,71.2
23.1,36.8,100.0
26.4,48.1,81.7
19.3,61.1,96.6
26.1,64.2,77.6
20.1,69.8,99.4
19.2,79.6,98.0
27.9,33.2,78.9
28.1,63.2,64.1
26.4,68.9,77.6
25.4,53.6,89.3
16.6,58.4,80.5
30.8,82.5,37.8
16.5,68.7,78.3
22.1,77.6,96.5
21.3,43.5,98.4
31.8,62.9,36.5
27.4,43.9,78.3
16.2,83.3,86.2
24.6,69.7,87.5
21.1,71.3,97.0
27.1,68.8,73.4
24.1,77.2,87.1
21.6,57.2,97.2
27.6,74.4,66.9
19.3,44.5,87.3
26.3,73.1,76.9
29.6,46.5,62.2
31.8,84.4,40.2
16.9,40.0,76.8
23.6,77.6,90.1
29.7,77.4,47.3
21.7,32.6,100.0
19.2,73.4,97.1
22.2,80.8,97.6
30.8,36.5,56.9
19.4,44.7,88.4
29.1,55.5,58.7
20.6,50.7,94.0
23.2,70.7,91.5
25.3,27.4,91.7
17.3,37.0,76.2
28.0,57.6,68.7
16.2,69.7,80.5
19.5,81.5,98.2
16.5,32.1,68.7
20.8,54.9,98.4
25.9,76.3,78.8
28.2,32.5,78.1
26.6,59.7,78.7
18.2,59.9,88.4
16.2,56.1,75.0
23.0,72.7,92.7
29.3,80.3,45.6
25.2,59.0,86.9
29.4,43.0,65.9
21.6,80.2,95.9
19.7,74.1,99.9
16.5,76.9,84.1
27.7,77.1,63.4
19.0,71.5,92.3
29.4,81.6,44.0
20.3,41.1,94.2
21.0,36.3,95.9
24.0,50.0,94.2
22.1,49.5,100.0
26.9,66.6,70.4
28.7,63.8,61.1
16.9,66.9,84.4
25.1,40.5,89.8
31.7,74.1,37.9
27.2,60.9,72.4
25.9,25.3,91.9
19.8,54.6,94.4
28.1,54.6,70.4
31.0,39.2,48.7
20.3,84.6,97.2
27.7,39.9,74.9
31.3,33.2,50.1
31.0,67.1,37.3
16.1,80.8,80.7
22.9,25.9,97.9
18.0,38.2,80.1
19.2,56.5,92.5
24.1,28.0,97.5
16.6,35.4,68.6
18.7,82.8,97.8
23.0,58.9,96.0
30.2,28.9,60.0
27.2,37.6,81.2
29.4,74.7,50.9
22.3,44.6,98.9
21.3,63.2,100.0
29.8,83.9,41.6
29.2,45.9,62.7
20.6,37.9,93.5
17.6,72.3,87.5
19.4,45.1,90.7
24.6,30.0,98.2
22.0,58.4,99.9
23.1,25.6,100.0
22.2,29.1,96.0
29.9,28.9,64.1
23.9,44.8,95.3
22.6,64.0,96.6
18.8,71.1,95.6
20.5,32.3,90.6
28.0,77.4,60.9
26.8,80.4,70.6
29.4,28.5,68.5
30.6,33.9,57.5
26.1,79.9,74.6
20.8,33.5,93.3
17.2,25.5,68.4
18.6,62.0,90.3
31.9,35.7,47.0
24.7,56.3,87.5
23.2,62.0,94.4
29.4,84.2,44.9
23.8,35.1,97.8
19.9,42.6,90.7
29.9,25.8,66.9
31.7,66.0,37.6
26.6,30.5,89.3
26.2,43.8,85.0
27.4,28.0,82.9
21.9,42.4,96.7
19.0,50.9,90.2
18.6,39.7,84.1
22.6,40.6,99.8
23.2,30.9,96.9
31.8,35.5,45.7
27.6,26.9,84.3
25.8,81.8,76.1
23.7,72.0,90.0
27.7,65.4,66.1
18.9,67.6,92.9
18.8,76.2,96.8
31.9,68.8,35.0
16.3,46.9,70.4
22.1,67.8,96.0
28.1,72.9,60.5
17.2,60.4,83.8
26.6,60.3,76.3
23.3,78.7,89.2
21.7,31.7,95.0
22.3,65.8,99.5
22.7,27.9,98.5
18.8,64.8,92.6
29.4,46.5,64.7
30.5,50.0,51.4
18.8,77.6,93.4
23.6,54.6,92.6
21.6,54.8,99.4
22.6,72.3,98.2
25.9,34.6,90.5
16.2,81.3,82.1
25.3,32.9,89.5
17.0,78.2,85.5
20.0,80.5,99.3
27.3,46.9,77.3
21.2,25.1,95.2
28.3,53.5,69.6
16.2,49.4,72.6
25.4,79.8,81.6
18.9,27.1,82.0
22.5,28.1,100.0
19.6,75.1,95.8
29.7,25.2,65.6
29.2,39.3,68.4
24.7,54.6,92.8
20.7,80.7,100.0
19.8,76.0,97.9
26.2,82.4,71.1
26.6,82.1,71.7
26.8,77.1,68.9
30.4,56.2,48.3
16.7,53.2,76.5
19.4,77.1,100.0
18.0,60.8,87.2
23.0,25.8,100.0
17.4,59.9,82.3
27.3,80.1,64.8
25.7,63.7,81.6
25.1,34.3,92.7
16.7,78.4,84.2
30.8,53.7,45.4
21.7,78.2,99.6
29.5,45.0,64.4
27.2,55.4,72.9
25.5,73.5,79.1
32.0,33.3,45.1
16.1,72.1,82.1
25.4,55.2,87.7
21.8,34.9,99.6
17.1,73.8,87.6
22.3,51.3,98.5
21.2,64.8,99.7
20.8,74.0,100.0
17.4,47.1,81.1
30.1,33.8,58.4
18.7,68.1,95.6
28.1,59.3,65.0
24.8,75.8,85.8
17.7,26.5,72.9
16.9,36.9,70.9
20.2,29.7,92.8
20.2,56.7,99.3
31.4,52.4,42.3
29.0,65.5,57.4
25.6,32.6,94.0
30.9,62.3,42.6
21.0,25.5,90.9
23.2,32.4,97.2
24.7,44.2,93.1
19.3,56.1,94.3
17.9,75.5,91.2
17.4,29.6,71.4
25.6,69.6,83.1
20.1,61.6,95.2
16.4,56.5,75.9
16.8,77.3,88.1
22.4,30.4,97.9
27.1,75.1,66.4
17.1,60.4,81.2
22.1,35.3,96.7
18.1,54.4,87.0
19.5,29.2,86.4
17.6,69.0,85.3
18.1,30.2,80.9
25.7,44.7,89.0
16.5,25.2,64.0
22.8,55.1,96.4
28.6,57.2,62.6
25.9,30.4,88.6
19.9,58.4,96.4
29.2,76.7,50.9
25.0,70.4,81.4
24.1,46.2,93.0
17.0,67.6,86.5
20.1,33.4,94.0
27.5,47.6,75.7
24.1,66.5,88.7
24.5,59.1,88.7
28.7,67.8,61.5
29.7,37.3,64.5
17.7,35.7,76.1
25.6,54.7,86.1
28.0,36.2,73.4
17.8,30.5,75.2
22.7,49.6,97.1
24.9,45.0,92.1
28.9,36.7,69.8
30.6,37.1,54.0
30.1,59.0,50.7
23.7,68.5,89.6
19.2,35.2,87.0
22.3,45.6,98.3
19.7,58.6,92.6
30.2,41.6,57.6
29.2,63.7,55.7
22.0,66.2,99.4
30.7,27.4,58.7
24.5,47.9,94.8
21.5,82.4,96.0
20.8,65.4,97.1
17.0,38.3,76.3
23.7,67.9,90.2
20.0,31.7,87.4
18.6,76.6,96.4
27.8,62.6,68.6
16.4,43.0,70.9
20.0,43.4,93.8
24.7,68.4,84.5
24.2,33.6,96.5
19.5,84.7,99.2
30.9,84.6,35.2
24.4,52.1,93.8
26.3,77.9,75.3
29.0,29.6,72.7
27.6,67.3,68.9
23.8,65.3,91.1
18.7,43.2,85.1
16.3,40.0,68.5
30.3,34.8,59.2
26.8,35.3,85.6
18.2,80.8,92.0
25.8,54.1,82.3
24.6,49.6,94.0
31.3,84.4,39.7
19.1,36.9,87.1
17.1,60.2,84.6
16.6,47.9,76.3
23.6,60.9,96.1
25.7,45.0,85.4
17.5,84.8,89.1
27.7,42.6,73.8
19.8,65.3,98.8
28.8,72.1,58.7
31.9,53.3,35.7
20.2,61.7,97.4
27.1,31.0,85.5
19.3,29.6,86.7
24.3,73.8,84.6
18.9,83.8,96.6
25.3,73.0,83.6
21.7,49.2,99.7
21.4,62.6,97.6
28.5,38.4,74.5
31.3,61.5,39.4
20.6,71.3,100.0
17.4,72.3,85.7
28.7,78.3,55.3
24.3,25.8,99.4
31.8,32.3,50.3
31.2,36.2,53.3
23.4,61.4,95.4
24.1,45.7,93.5
23.2,66.2,93.4
30.6,51.2,47.3
24.9,48.7,87.8
27.0,64.9,70.3
31.9,45.8,38.4
24.1,63.3,93.0
24.1,44.7,95.4
19.1,43.6,88.2
30.0,59.3,48.7
16.1,38.8,65.8
25.2,26.0,97.0
23.7,77.3,91.4
31.9,41.6,45.0
31.8,55.4,37.2
19.0,36.3,84.7
23.0,78.9,94.9
19.6,33.0,90.3
18.4,56.7,89.4
17.7,47.4,82.8
20.9,26.4,92.7
28.4,77.9,58.3
30.0,34.6,61.1
23.3,57.4,97.5
26.4,55.4,82.7
17.7,68.8,85.5
29.2,53.6,59.1
27.1,72.6,68.9
25.1,33.2,93.9
29.7,73.5,45.5
31.3,60.6,37.3
30.8,68.7,43.0
20.2,37.0,95.1
16.3,61.6,75.5
27.4,75.3,67.2
22.5,54.2,99.1
26.3,40.8,82.5
23.0,67.1,96.6
16.9,84.9,88.5
27.0,53.4,78.3
29.4,81.1,45.8
22.7,60.3,98.0
26.0,59.0,81.7
30.7,30.0,58.9
19.8,31.6,88.1
16.5,45.5,71.6
28.1,33.4,78.1
26.2,78.3,75.1
29.6,33.9,67.2
30.0,44.2,58.2
29.7,38.5,64.8
25.7,65.6,78.5
17.1,59.1,84.2
17.1,42.2,75.0
28.0,64.6,66.6
19.8,51.3,91.3
27.2,65.3,69.9
29.9,63.5,53.2
17.8,36.0,76.7
16.2,77.2,81.8
28.2,41.3,73.9
26.4,29.9,90.4
22.7,77.9,96.8
28.8,80.1,49.9
17.3,72.7,84.0
28.8,83.0,53.7
25.0,56.6,87.1
16.5,56.8,76.2
18.2,80.1,93.5
17.2,47.0,77.8
25.5,69.6,83.4
17.3,78.9,88.6
25.5,50.0,89.6
20.6,74.2,100.0
17.8,45.7,80.6
20.0,61.1,95.5
22.9,69.1,96.9
20.0,69.3,100.0
19.0,67.9,92.8
16.0,65.3,77.9
26.8,49.5,79.1
19.8,70.5,95.6
25.7,73.1,76.6
21.1,26.4,92.6
31.9,72.2,35.5
17.9,68.4,90.4
20.5,48.2,96.1
25.4,47.4,86.9
29.7,66.5,52.0
20.3,58.0,98.6
18.4,45.5,86.9
20.5,49.4,93.4
26.8,64.4,71.9
31.4,45.0,46.1
24.5,64.8,86.2
27.0,43.7,80.2
22.4,51.1,98.7
30.2,74.9,40.8
24.8,50.8,90.2
31.3,59.3,41.1
18.0,61.6,87.5
21.6,55.9,100.0
30.0,71.8,43.6
23.8,63.5,92.1
29.1,29.1,68.9
18.6,48.9,86.2
17.8,63.2,87.5
20.2,77.4,100.0
28.8,31.2,75.0
28.9,48.2,63.5
31.4,55.4,43.3
16.4,72.4,83.4
20.5,31.9,95.5
19.4,40.7,90.2
20.1,53.6,94.8
23.7,29.6,96.1
17.8,50.0,81.6
17.8,25.6,76.7
30.7,35.3,56.9
27.2,25.5,81.5
29.8,43.6,61.3
16.3,56.3,72.9
31.1,49.2,43.4
30.3,27.0,64.7
16.2,59.3,73.5
25.4,46.4,86.8
19.7,35.5,86.7
31.0,36.4,51.1
19.9,35.7,88.0
21.9,69.8,99.2
20.1,38.0,93.2
22.8,55.8,98.6
28.9,66.7,59.9
19.8,56.6,93.3
23.0,45.9,98.3
16.9,65.4,80.7
27.5,36.7,80.6
24.0,39.4,97.6
25.9,65.2,79.9
26.4,35.7,84.0
17.0,45.9,73.8
26.6,55.3,79.8
24.4,27.5,95.9
28.4,47.6,66.7
16.3,68.4,81.7
23.8,63.3,93.3
31.4,69.7,34.7
21.3,71.4,100.0
25.5,56.5,82.7
22.5,60.7,95.9
20.0,72.7,100.0
25.5,58.6,84.2
27.8,75.7,63.1
19.8,51.1,94.1
24.1,49.3,95.5
16.2,56.6,74.2
17.8,79.3,93.7
17.0,78.8,87.5
30.6,60.0,45.8
31.9,77.1,39.7
31.8,40.8,43.5
20.6,55.8,96.7
20.4,81.0,97.7
29.1,33.5,69.9
25.0,47.4,89.4
30.7,83.6,39.8
20.1,45.2,93.2
27.2,65.4,71.0
31.7,81.1,36.3
29.6,70.7,49.0
28.1,52.2,67.6
30.5,50.9,53.5
22.2,77.4,97.6
16.8,78.0,83.3
21.0,71.9,97.0
30.7,31.0,60.0
29.3,42.8,65.2
29.5,54.5,59.5
24.9,29.1,92.4
22.9,25.5,97.5
23.9,55.3,93.6
17.0,38.3,74.4
24.5,31.3,95.5
21.9,82.4,95.5
19.9,65.7,94.3
21.6,71.7,96.7
29.0,70.5,57.2
31.8,54.5,37.6
16.9,65.2,83.7
23.0,32.9,99.4
16.4,31.0,68.8
20.6,58.5,99.8
21.8,74.2,100.0
22.5,82.8,91.2
26.6,44.7,82.8
30.8,62.7,44.3
31.0,30.6,56.1
25.5,43.2,88.8
17.7,60.7,86.8
24.5,45.8,91.2
26.2,79.2,72.3
23.9,49.2,95.9
30.0,73.3,43.1
22.1,38.8,100.0
27.1,63.2,70.8
23.8,46.1,96.7
20.6,57.7,99.8
22.8,45.9,98.1
17.3,50.8,81.8
29.0,61.3,60.4
27.8,82.2,58.3
23.0,30.0,100.0
27.0,51.3,77.7
26.6,33.2,84.8
30.3,29.2,62.6
29.4,53.3,60.8
28.4,59.3,66.3
31.9,36.3,46.8
30.0,36.8,58.3
17.1,61.6,84.9
18.7,66.2,93.0
21.8,55.3,99.9
21.5,37.9,96.5
16.7,55.5,78.2
17.2,38.7,74.2
18.2,74.6,90.1
31.7,83.2,39.2
30.4,28.3,62.8
29.4,36.0,63.1
20.7,70.6,100.0
17.0,35.1,73.1
21.6,74.3,97.8
23.3,25.0,97.1
30.5,76.3,37.8
23.5,44.3,94.8
24.0,31.7,99.7
25.5,70.0,84.1
22.9,50.9,98.1
20.3,34.9,90.7
26.1,26.3,91.9
25.4,30.7,93.1
19.5,81.2,99.6
27.8,60.6,65.7
18.8,68.9,91.1
19.4,57.3,92.1
16.4,67.9,81.4
17.5,31.7,76.1
22.0,72.8,95.4
20.7,52.4,95.0
26.0,59.8,82.8
16.8,32.8,73.1
30.1,65.1,45.7
26.2,50.7,80.5
25.6,84.1,75.4
20.9,31.3,93.2
20.3,34.7,91.3
30.3,78.3,41.2
16.8,39.1,72.9
16.1,49.4,72.9
23.9,57.0,92.3
24.8,64.6,86.2
25.3,62.6,82.0
20.1,38.9,92.8
20.5,68.4,98.6
19.2,69.5,96.0
16.9,42.1,71.8
16.4,54.2,75.2
29.0,34.2,72.4
31.8,43.4,42.5
20.9,84.7,100.0
30.9,27.4,55.0
26.0,81.5,74.4
21.1,65.6,98.6
17.5,41.2,76.5
22.5,48.3,100.0
20.9,30.6,93.4
23.1,66.9,92.3
27.1,42.5,81.0
22.9,49.3,95.7
29.3,43.2,63.1
25.9,26.6,90.7
17.8,49.7,82.3
27.1,55.7,75.7
24.0,48.3,93.3
23.4,67.3,93.1
23.4,58.6,94.6
31.0,78.4,36.4
30.9,49.2,46.6
31.6,46.6,44.0
26.9,48.9,78.3
19.5,33.2,90.7
22.5,33.7,97.0
27.1,65.1,69.8
16.7,56.6,78.3
17.8,38.9,78.7
27.5,45.1,78.2
27.9,64.7,64.9
29.6,78.4,48.8
17.7,36.7,79.4
28.9,70.3,55.7
16.0,61.5,72.5
27.5,84.0,62.9
26.5,83.7,70.9
18.1,35.9,80.9
20.7,64.8,98.9
25.9,50.9,82.6
23.2,52.6,94.0
30.9,76.8,37.7
27.3,79.9,65.3
22.3,78.4,95.6
22.7,38.4,97.7
26.9,56.2,78.2
31.9,25.8,49.5
22.4,35.8,100.0
30.5,44.0,53.4
24.6,71.3,88.0
29.2,42.4,62.0
22.8,63.5,97.6
19.9,63.7,94.1
23.1,32.0,99.4
19.7,30.4,88.7
20.2,35.3,89.8
16.9,37.4,73.3
27.6,61.8,71.9
24.5,59.2,89.2
21.2,68.5,100.0
28.3,61.1,64.0
25.8,53.0,84.2
17.5,83.5,88.4
17.6,67.0,85.7
30.5,59.2,50.0
28.9,64.2,58.3
18.4,70.9,91.1
28.8,74.0,53.9
24.2,77.2,88.7
31.9,76.6,35.1
22.9,84.3,90.6
20.3,55.7,97.6
28.9,63.8,61.1
17.4,41.4,77.4
24.1,33.3,94.3
23.0,48.7,95.3
28.1,82.6,57.3
30.4,65.5,47.5
27.9,82.4,57.0
21.9,67.9,100.0
19.7,73.5,96.3
29.0,40.5,67.7
22.9,43.4,98.9
30.1,39.3,60.9
27.9,76.1,62.8
20.5,69.9,97.0
24.1,50.1,91.8
21.7,56.6,100.0
30.0,65.6,49.3
21.9,70.8,100.0
24.2,75.7,86.3
23.1,27.0,100.0
28.9,49.2,67.2
19.4,40.0,88.2
21.1,61.8,98.1
28.8,84.5,48.5
19.3,75.6,96.3
26.7,43.4,84.1
19.0,71.4,91.8
26.2,40.6,83.2
20.9,45.7,98.4
29.8,78.7,45.6
19.8,62.9,98.4
18.1,71.3,92.8
20.9,63.3,100.0
24.0,38.5,94.2
19.2,36.3,85.9
16.8,83.8,85.8
16.6,83.5,84.4
21.8,29.8,100.0
28.0,75.6,62.6
20.0,80.3,98.0
16.0,29.3,61.4
25.7,56.8,85.0
25.5,77.4,76.3
20.5,32.7,90.8
31.5,59.1,35.8
23.1,48.9,100.0
16.5,68.7,80.0
29.7,75.8,48.3
24.8,61.1,90.4
22.9,28.7,98.1
19.9,25.3,85.9
31.7,64.1,35.4
20.8,40.5,96.4
30.3,53.6,53.6
18.7,41.8,88.5
26.1,68.4,77.1
17.4,60.4,85.5
29.5,58.5,57.5
27.4,81.6,60.7
29.4,79.7,49.8
29.4,26.7,68.7
31.3,28.9,51.1
19.0,65.2,94.0
25.7,44.0,89.5
23.3,45.6,97.6
16.8,83.2,88.7
20.0,81.8,97.1
25.4,42.5,91.4
17.3,41.3,75.2
22.3,37.2,98.6
19.6,72.0,99.4
16.4,68.0,81.8
18.1,42.8,80.9
17.7,36.6,79.7
17.4,53.4,81.7
21.2,40.2,95.3
25.1,43.7,89.9
28.4,72.6,62.2
19.6,47.7,89.8
16.6,42.4,72.5
17.1,76.0,88.2
25.0,80.4,83.6
20.6,49.5,94.9
20.0,84.7,98.7
20.4,46.4,98.3
16.6,33.9,68.7
30.2,75.2,41.3
17.9,32.4,78.2
28.3,56.7,67.1
30.5,61.5,45.8
22.7,57.8,94.8
22.0,67.5,100.0
26.1,57.6,83.7
20.1,67.3,100.0
19.4,48.3,93.3
31.8,77.3,37.1
25.1,49.8,86.6
19.5,38.3,88.6
16.3,38.6,67.1
24.6,67.1,85.7
24.2,49.1,94.6
29.4,61.8,54.3
20.8,26.0,91.5
16.3,82.4,84.0
16.8,56.3,79.0
17.7,77.4,92.4
21.0,76.3,97.3
25.3,41.6,90.9
18.5,28.5,83.3
19.1,48.9,92.7
24.9,47.4,92.3
16.6,84.3,86.0
28.0,64.8,63.6
26.3,40.9,86.5
21.8,55.3,98.7
27.0,43.9,80.3
25.0,74.2,84.3
26.3,58.3,77.3
17.1,52.6,79.2
21.2,58.5,96.9
31.6,49.1,40.3
25.0,52.3,86.7
26.1,83.5,70.7
26.5,57.0,77.4
20.1,37.2,94.3
19.1,57.9,93.0
20.3,25.5,88.5
27.9,52.2,68.3
16.9,38.3,71.5
27.0,28.7,82.3
20.0,45.3,93.4
28.1,72.1,62.1
30.7,33.0,55.0
25.0,30.3,93.5
24.1,55.0,91.7
27.1,49.4,78.7
21.5,40.1,100.0
20.2,41.8,95.6
17.7,81.7,90.0
19.6,54.6,93.0
25.1,37.9,93.3
29.5,58.6,57.4
21.1,78.6,96.2
27.8,69.1,66.4
22.2,50.4,98.7
27.3,47.1,78.0
25.0,46.6,90.5
25.9,40.5,85.5
17.4,44.6,79.2
20.2,49.0,92.6
26.9,44.8,81.8
20.3,76.6,100.0
26.2,26.4,87.9
27.9,44.0,73.5
20.3,71.7,96.5
25.6,25.9,93.1
29.1,77.4,51.8
30.8,84.7,38.1
18.4,55.9,87.1
21.1,45.1,97.1
26.3,30.2,90.0
18.1,52.7,85.7
29.3,84.1,43.9
25.5,68.4,80.1
17.8,81.5,92.0
29.1,32.0,70.0
30.0,27.5,61.5
16.6,40.7,69.4
16.6,70.8,80.6
26.2,60.3,81.6
27.0,30.0,84.4
27.3,65.2,71.6
27.8,42.1,73.8
17.8,66.9,86.6
19.7,58.3,92.1
22.2,83.1,95.9
16.0,73.5,77.9
25.5,34.8,93.5
16.1,61.4,74.6
29.3,74.0,52.8
17.3,58.6,84.1
25.3,77.3,79.2
24.8,30.6,94.7
19.0,62.6,94.8
22.3,82.0,94.0
18.7,46.3,85.8
18.2,52.0,86.8
32.0,37.6,42.3
28.9,43.8,63.7
19.4,72.5,99.4
18.5,50.0,88.1
31.2,36.3,48.7
29.6,64.2,54.9
29.0,28.0,71.2
22.7,74.4,93.0
21.1,36.3,98.2
22.6,69.6,95.9
18.0,76.6,89.7
17.5,61.1,86.6
24.5,28.2,96.6
27.3,27.0,82.4
16.9,26.9,67.5
25.9,59.7,82.2
16.8,47.2,73.0
18.0,39.9,82.9
22.6,57.1,95.6
24.5,72.8,84.8
29.4,77.0,46.7
23.9,25.2,100.0
18.7,29.9,80.8
25.9,25.4,91.3
26.0,39.9,86.9
25.3,76.0,82.2
17.7,27.3,76.1
24.1,34.4,97.3
